,PostalCode,Borough,Neighborhood,Latitude,Longitude
91,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.632798483000045,-79.49301657299998
92,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.62549000000007,-79.52599999999995
93,M9A,Etobicoke,Islington Avenue,43.66748067300006,-79.52895286499995
94,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.65002250300006,-79.55408903099999
95,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.637813150000056,-79.57648363299995
96,M9L,North York,Humber Summit,43.75938139500005,-79.55717381699998
97,M9M,North York,"Humberlea, Emery",43.733682102000046,-79.54438077099996
98,M9N,York,Weston,43.70549635400005,-79.52037009099996
99,M9P,Etobicoke,Westmount,43.69629612800003,-79.53312611699994
100,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.68688713700004,-79.56550730099997
101,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.74405485200003,-79.58120294599996
102,M9W,Etobicoke,Northwest,43.71161519300006,-79.58835079199997
